Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime,,,
Chitchor,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Aap Beeti,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Barood,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Sangram,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Do Anjane,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Laila Majnu,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Maa,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Mehbooba,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Nagin,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Nehle Pe Dehla,30-Nov-75,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Parvarish,11-Nov-77,0 Cr N.A,0 Cr N.A,0 Cr N.A,3.7,,,
Hum Kisise Kum Naheen,25-Aug-77,0 Cr N.A,0 Cr N.A,0 Cr N.A,4.2,,,
Amar Akbar Anthony,07-May-77,0 Cr N.A,0 Cr N.A,0 Cr N.A,7.2,,,
Chandi Sona,25-Mar-77,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Khoon Pasina,21-Jan-77,0 Cr N.A,0 Cr N.A,0 Cr N.A,2.5,,,
Jadu Tona,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.1,,,
Inkaar,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.9,,,
Chhailla Babu,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,1.3,,,
Adalat,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Immaan Dharam,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,1,,,
Apnapan,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Chacha Bhatija,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Khel Khilari Ka,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Dulhan Wohi Jo Piya Man Bhaye,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Dream Girl,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
Dildaar,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,6,,,
Chakkar Pe Chakkar,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,3,,,
Aashiq Hoon Baharon Ka,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,2,,,
Dharam Veer,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,5,,,
Maha Badmaash,30-Nov-76,0 Cr N.A,0 Cr N.A,0 Cr N.A,4,,,
